Segment,Group,Samples,Accuracy,Precision,Recall,F1 Score
Gender,female,61,0.8524590163934426,0.8333333333333334,1.0,0.9090909090909091
Gender,male,118,0.8050847457627118,0.5384615384615384,0.2916666666666667,0.3783783783783784
PassengerClass,1,45,0.7777777777777778,0.8,0.8,0.8
PassengerClass,2,34,0.8823529411764706,0.9444444444444444,0.85,0.8947368421052632
PassengerClass,3,100,0.82,0.625,0.625,0.625
